conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C0,0,Angehörige der regulären Streitkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C01,01,Offiziere in regulären Streitkräften,,
ISCOGroup,http://data.europa.eu/esco/isco/C011,011,Offiziere in regulären Streitkräften,,
ISCOGroup,http://data.europa.eu/esco/isco/C0110,0110,Offiziere in regulären Streitkräften,,
ISCOGroup,http://data.europa.eu/esco/isco/C02,02,Unteroffiziere in regulären Streitkräften,,
ISCOGroup,http://data.europa.eu/esco/isco/C021,021,Unteroffiziere in regulären Streitkräften,,
ISCOGroup,http://data.europa.eu/esco/isco/C0210,0210,Unteroffiziere in regulären Streitkräften,,
ISCOGroup,http://data.europa.eu/esco/isco/C03,03,Angehörige der regulären Streitkräfte in sonstigen Rängen,,
ISCOGroup,http://data.europa.eu/esco/isco/C031,031,Angehörige der regulären Streitkräfte in sonstigen Rängen,,
ISCOGroup,http://data.europa.eu/esco/isco/C0310,0310,Angehörige der regulären Streitkräfte in sonstigen Rängen.,,
ISCOGroup,http://data.europa.eu/esco/isco/C1,1,Führungskräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C11,11,"Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften",,
ISCOGroup,http://data.europa.eu/esco/isco/C111,111,Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete,,
ISCOGroup,http://data.europa.eu/esco/isco/C1111,1111,Angehörige gesetzgebender Körperschaften,,
ISCOGroup,http://data.europa.eu/esco/isco/C1112,1112,Leitende Verwaltungsbedienstete,,
ISCOGroup,http://data.europa.eu/esco/isco/C1113,1113,Traditionelle Dorf- und Stammeshäuptlinge,,
ISCOGroup,http://data.europa.eu/esco/isco/C1114,1114,Leitende Bedienstete von Interessenorganisationen,,
ISCOGroup,http://data.europa.eu/esco/isco/C112,112,Geschäftsführer und Vorstände,,
ISCOGroup,http://data.europa.eu/esco/isco/C1120,1120,Geschäftsführer und Vorstände,,
ISCOGroup,http://data.europa.eu/esco/isco/C12,12,Führungskräfte im kaufmännischen Bereich,,
