conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C0,0,Fegyveres erők,,
ISCOGroup,http://data.europa.eu/esco/isco/C01,01,Fegyveres erők tisztjei,,
ISCOGroup,http://data.europa.eu/esco/isco/C011,011,Fegyveres erők tisztjei,,
ISCOGroup,http://data.europa.eu/esco/isco/C0110,0110,Fegyveres erők tisztjei,,
ISCOGroup,http://data.europa.eu/esco/isco/C02,02,Fegyveres erők tiszthelyettesei,,
ISCOGroup,http://data.europa.eu/esco/isco/C021,021,Fegyveres erők tiszthelyettesei,,
ISCOGroup,http://data.europa.eu/esco/isco/C0210,0210,Fegyveres erők tiszthelyettesei,,
ISCOGroup,http://data.europa.eu/esco/isco/C03,03,Fegyveres erők egyéb rangú állománya,,
ISCOGroup,http://data.europa.eu/esco/isco/C031,031,Fegyveres erők egyéb rangú állománya,,
ISCOGroup,http://data.europa.eu/esco/isco/C0310,0310,Fegyveres erők egyéb rangú állománya,,
ISCOGroup,http://data.europa.eu/esco/isco/C1,1,Vezetők,,
ISCOGroup,http://data.europa.eu/esco/isco/C11,11,"Vezérigazgatók, igazgatási vezetők és törvényhozók",,
ISCOGroup,http://data.europa.eu/esco/isco/C111,111,Törvényhozók és igazgatási vezetők,,
ISCOGroup,http://data.europa.eu/esco/isco/C1111,1111,Törvényhozók,,
ISCOGroup,http://data.europa.eu/esco/isco/C1112,1112,Országos közigazgatási vezetők,,
ISCOGroup,http://data.europa.eu/esco/isco/C1113,1113,Tradicionális helyi vezetők,,
ISCOGroup,http://data.europa.eu/esco/isco/C1114,1114,Érdekképviseleti szervezetek vezetői,,
ISCOGroup,http://data.europa.eu/esco/isco/C112,112,Ügyvezetők és vezérigazgatók,,
ISCOGroup,http://data.europa.eu/esco/isco/C1120,1120,Ügyvezetők és vezérigazgatók,,
ISCOGroup,http://data.europa.eu/esco/isco/C12,12,Igazgatási és gazdasági vezetők,,
ISCOGroup,http://data.europa.eu/esco/isco/C121,121,Üzleti és igazgatási vezetők,,
ISCOGroup,http://data.europa.eu/esco/isco/C1211,1211,Pénzügyi vezetők,,
ISCOGroup,http://data.europa.eu/esco/isco/C1212,1212,Emberierőforrás-gazdálkodási vezetők,,
