conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C0,0,Militärt arbete,,
ISCOGroup,http://data.europa.eu/esco/isco/C01,01,Arbete som officerare,,
ISCOGroup,http://data.europa.eu/esco/isco/C011,011,Officerare,,
ISCOGroup,http://data.europa.eu/esco/isco/C0110,0110,Officerare,,
ISCOGroup,http://data.europa.eu/esco/isco/C02,02,Arbete som underofficerare,,
ISCOGroup,http://data.europa.eu/esco/isco/C021,021,Underofficerare,,
ISCOGroup,http://data.europa.eu/esco/isco/C0210,0210,Underofficerare,,
ISCOGroup,http://data.europa.eu/esco/isco/C03,03,Övrigt militärt arbete,,
ISCOGroup,http://data.europa.eu/esco/isco/C031,031,Övrig militärpersonal,,
ISCOGroup,http://data.europa.eu/esco/isco/C0310,0310,Övrig militärpersonal,,
ISCOGroup,http://data.europa.eu/esco/isco/C1,1,Ledningsarbete,,
ISCOGroup,http://data.europa.eu/esco/isco/C11,11,Politiskt arbete m.m.,,
ISCOGroup,http://data.europa.eu/esco/isco/C111,111,Högre ämbetsmän och politiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C1111,1111,Politiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C1112,1112,Högre ämbetsmän,,
ISCOGroup,http://data.europa.eu/esco/isco/C1113,1113,Traditionella byhövdingar,,
ISCOGroup,http://data.europa.eu/esco/isco/C1114,1114,Chefstjänstemän i intresseorganisationer,,
ISCOGroup,http://data.europa.eu/esco/isco/C112,112,"Verkställande direktörer, verkschefer m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C1120,1120,"Verkställande direktörer, verkschefer m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C12,12,Administrativt ledningsarbete,,
ISCOGroup,http://data.europa.eu/esco/isco/C121,121,Chefer inom företagstjänster och administration,,
ISCOGroup,http://data.europa.eu/esco/isco/C1211,1211,Ekonomichefer,,
ISCOGroup,http://data.europa.eu/esco/isco/C1212,1212,Personalchefer,,
ISCOGroup,http://data.europa.eu/esco/isco/C1213,1213,Planeringschefer,,
ISCOGroup,http://data.europa.eu/esco/isco/C1219,1219,Övriga chefer inom företagstjänster och administration,,
ISCOGroup,http://data.europa.eu/esco/isco/C122,122,"Försäljnings-, marknads- och utvecklingschefer",,
ISCOGroup,http://data.europa.eu/esco/isco/C1221,1221,Försäljnings- och marknadschefer,,
ISCOGroup,http://data.europa.eu/esco/isco/C1222,1222,Reklam- och PR-chefer,,
ISCOGroup,http://data.europa.eu/esco/isco/C1223,1223,Forsknings- och utvecklingschefer,,
