^0^1^2^3
0^Interaktionsdesigner/ UX Designer till Softronic!^Softronic^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Interaktionsdesigner-UX-Designer-till-Softronic!-Stockholm-STHM-Sweden-Softronic/11/195287732
1^Embedded Software Developer^Dfind IT^Solna, Stockholms län  ^https://jobberbjudande.monster.se/Embedded-Software-Developer-Solna-STHM-Sweden-Dfind-IT/11/194944356
2^.Net-utvecklare med erfarenhet av Xamarin^Capgemini Sverige AB^No location info^https://jobberbjudande.monster.se/Net-utvecklare-med-erfarenhet-av-Xamarin-Stockholm-Sweden-Capgemini-Sverige-AB/11/195417882
3^Jobba som webb-designer i nytänkande miljö!^Academic Work^Lund, Skåne län  ^https://jobberbjudande.monster.se/Jobba-som-webb-designer-i-nytänkande-miljö!-Lund-SKÅ-Sweden-Academic-Work/11/195473526
4^Programmerare / Data Scientist / Programmering / Machine Learning / AI^Bravura^No location info^https://jobberbjudande.monster.se/Programmerare-Data-Scientist-Programmering-Machine-Learning-AI-Göteborg-VTG-Sweden-Bravura/11/195696410
5^Programmerare med monteringsvana^Clockwork Bemanning & Rekrytering AB^Fagersta, Västmanlands län  ^https://jobberbjudande.monster.se/Programmerare-med-monteringsvana-Fagersta-VTM-Sweden-Clockwork-Bemanning-Rekrytering-AB/11/195447101
6^DSP-programmerare och algoritmutvecklare, Nord Keyboards^Addilon AB^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/DSP-programmerare-och-algoritmutvecklare-Nord-Keyboards-Stockholm-STHM-Sweden-Addilon-AB/11/195477790
7^Programmerare med förkärlek till spelutveckling och 3D-visualisering, se hit!^Academic Work^No location info^https://jobberbjudande.monster.se/Programmerare-med-förkärlek-till-spelutveckling-och-3D-visualisering-se-hit!-Strömstad-VTG-Sweden-Academic-Work/11/194865166
8^Programmerare inom fastighetsstyrning till Schneider Electric^Schneider Electric^Umeå, Västerbottens län  ^https://jobberbjudande.monster.se/Programmerare-inom-fastighetsstyrning-till-Schneider-Electric-Umeå-VTB-Sweden-Schneider-Electric/11/194605882
9^Programmerare med förkärlek till spelutveckling och 3D-visualisering, se hit!^Academic Work^Falun, Dalarnas län  ^https://jobberbjudande.monster.se/Programmerare-med-förkärlek-till-spelutveckling-och-3D-visualisering-se-hit!-Falun-DLN-Sweden-Academic-Work/11/194171104
10^Breakit söker Utvecklare / Systemutvecklare^Breakit^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Breakit-söker-Utvecklare-Systemutvecklare-Stockholm-STHM-Sweden-Breakit/11/194555992
11^Databasutvecklare inom Microsoft SQL (T-SQL) till Hantverksdata^Academic Work^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Databasutvecklare-inom-Microsoft-SQL-T-SQL-till-Hantverksdata-Stockholm-STHM-Sweden-Academic-Work/11/195441735
12^Utvecklare / Systemutvecklare - Stockholm^Breakit^Stockholm, Stockholms län  ^https://jobberbjudande.monster.se/Utvecklare-Systemutvecklare-Stockholm-Stockholm-STHM-Sweden-Breakit/11/194556177
